日付,時刻,始値,高値,安値,終値,出来高
2025/04/23,14:55,,,,,0.0
2025/04/23,15:00,,,,,0.0
2025/04/23,15:05,,,,,0.0
2025/04/23,15:10,,,,,0.0
2025/04/23,15:15,,,,,0.0
2025/04/23,15:20,,,,,0.0
2025/04/23,15:25,,,,,0.0
2025/04/23,15:30,,,,,0.0
2025/04/24,09:00,,,,,0.0
2025/04/24,09:05,,,,,0.0
2025/04/24,09:10,,,,,0.0
2025/04/24,09:15,,,,,0.0
2025/04/24,09:20,,,,,0.0
2025/04/24,09:25,,,,,0.0
2025/04/24,09:30,,,,,0.0
2025/04/24,09:35,,,,,0.0
2025/04/24,09:40,,,,,0.0
2025/04/24,09:45,,,,,0.0
2025/04/24,09:50,,,,,0.0
2025/04/24,09:55,,,,,0.0
2025/04/24,10:00,,,,,0.0
2025/04/24,10:05,,,,,0.0
2025/04/24,10:10,,,,,0.0
2025/04/24,10:15,,,,,0.0
2025/04/24,10:20,,,,,0.0
2025/04/24,10:25,,,,,0.0
2025/04/24,10:30,,,,,0.0
2025/04/24,10:35,,,,,0.0
2025/04/24,10:40,,,,,0.0
2025/04/24,10:45,,,,,0.0
2025/04/24,10:50,,,,,0.0
2025/04/24,10:55,,,,,0.0
2025/04/24,11:00,,,,,0.0
2025/04/24,11:05,,,,,0.0
2025/04/24,11:10,,,,,0.0
2025/04/24,11:15,,,,,0.0
2025/04/24,11:20,,,,,0.0
2025/04/24,11:25,,,,,0.0
2025/04/24,11:30,,,,,0.0
2025/04/24,12:30,,,,,0.0
2025/04/24,12:35,,,,,0.0
2025/04/24,12:40,,,,,0.0
2025/04/24,12:45,,,,,0.0
2025/04/24,12:50,,,,,0.0
2025/04/24,12:55,,,,,0.0
2025/04/24,13:00,,,,,0.0
2025/04/24,13:05,,,,,0.0
2025/04/24,13:10,,,,,0.0
2025/04/24,13:15,,,,,0.0
2025/04/24,13:20,,,,,0.0
2025/04/24,13:25,,,,,0.0
2025/04/24,13:30,,,,,0.0
2025/04/24,13:35,,,,,0.0
2025/04/24,13:40,,,,,0.0
2025/04/24,13:45,,,,,0.0
2025/04/24,13:50,,,,,0.0
2025/04/24,13:55,,,,,0.0
2025/04/24,14:00,,,,,0.0
2025/04/24,14:05,,,,,0.0
2025/04/24,14:10,,,,,0.0
2025/04/24,14:15,,,,,0.0
2025/04/24,14:20,,,,,0.0
2025/04/24,14:25,,,,,0.0
2025/04/24,14:30,,,,,0.0
2025/04/24,14:35,,,,,0.0
2025/04/24,14:40,,,,,0.0
2025/04/24,14:45,,,,,0.0
2025/04/24,14:50,,,,,0.0
2025/04/24,14:55,,,,,0.0
2025/04/24,15:00,,,,,0.0
2025/04/24,15:05,,,,,0.0
2025/04/24,15:10,,,,,0.0
2025/04/24,15:15,,,,,0.0
2025/04/24,15:20,,,,,0.0
2025/04/24,15:25,,,,,0.0
2025/04/24,15:30,,,,,0.0
2025/04/25,09:00,,,,,0.0
2025/04/25,09:05,,,,,0.0
2025/04/25,09:10,,,,,0.0
2025/04/25,09:15,,,,,0.0
2025/04/25,09:20,,,,,0.0
2025/04/25,09:25,,,,,0.0
2025/04/25,09:30,,,,,0.0
2025/04/25,09:35,,,,,0.0
2025/04/25,09:40,,,,,0.0
2025/04/25,09:45,,,,,0.0
2025/04/25,09:50,,,,,0.0
2025/04/25,09:55,,,,,0.0
2025/04/25,10:00,,,,,0.0
2025/04/25,10:05,,,,,0.0
2025/04/25,10:10,,,,,0.0
2025/04/25,10:15,,,,,0.0
2025/04/25,10:20,,,,,0.0
2025/04/25,10:25,,,,,0.0
2025/04/25,10:30,,,,,0.0
2025/04/25,10:35,,,,,0.0
2025/04/25,10:40,,,,,0.0
2025/04/25,10:45,,,,,0.0
2025/04/25,10:50,,,,,0.0
2025/04/25,10:55,,,,,0.0
2025/04/25,11:00,,,,,0.0
2025/04/25,11:05,,,,,0.0
2025/04/25,11:10,,,,,0.0
2025/04/25,11:15,,,,,0.0
2025/04/25,11:20,,,,,0.0
2025/04/25,11:25,,,,,0.0
2025/04/25,11:30,,,,,0.0
2025/04/25,12:30,,,,,0.0
2025/04/25,12:35,,,,,0.0
2025/04/25,12:40,,,,,0.0
2025/04/25,12:45,,,,,0.0
2025/04/25,12:50,,,,,0.0
2025/04/25,12:55,,,,,0.0
2025/04/25,13:00,,,,,0.0
2025/04/25,13:05,,,,,0.0
2025/04/25,13:10,,,,,0.0
2025/04/25,13:15,,,,,0.0
2025/04/25,13:20,,,,,0.0
2025/04/25,13:25,,,,,0.0
2025/04/25,13:30,,,,,0.0
2025/04/25,13:35,,,,,0.0
2025/04/25,13:40,,,,,0.0
2025/04/25,13:45,,,,,0.0
2025/04/25,13:50,,,,,0.0
2025/04/25,13:55,,,,,0.0
2025/04/25,14:00,,,,,0.0
2025/04/25,14:05,,,,,0.0
2025/04/25,14:10,,,,,0.0
2025/04/25,14:15,,,,,0.0
2025/04/25,14:20,,,,,0.0
2025/04/25,14:25,,,,,0.0
2025/04/25,14:30,,,,,0.0
2025/04/25,14:35,,,,,0.0
2025/04/25,14:40,,,,,0.0
2025/04/25,14:45,,,,,0.0
2025/04/25,14:50,,,,,0.0
2025/04/25,14:55,,,,,0.0
2025/04/25,15:00,,,,,0.0
2025/04/25,15:05,,,,,0.0
2025/04/25,15:10,,,,,0.0
2025/04/25,15:15,,,,,0.0
2025/04/25,15:20,,,,,0.0
2025/04/25,15:25,,,,,0.0
2025/04/25,15:30,,,,,0.0
2025/04/28,09:00,,,,,0.0
2025/04/28,09:05,,,,,0.0
2025/04/28,09:10,,,,,0.0
2025/04/28,09:15,,,,,0.0
2025/04/28,09:20,,,,,0.0
2025/04/28,09:25,,,,,0.0
2025/04/28,09:30,,,,,0.0
2025/04/28,09:35,,,,,0.0
2025/04/28,09:40,,,,,0.0
2025/04/28,09:45,,,,,0.0
2025/04/28,09:50,,,,,0.0
2025/04/28,09:55,,,,,0.0
2025/04/28,10:00,,,,,0.0
2025/04/28,10:05,,,,,0.0
2025/04/28,10:10,,,,,0.0
2025/04/28,10:15,,,,,0.0
2025/04/28,10:20,,,,,0.0
2025/04/28,10:25,,,,,0.0
2025/04/28,10:30,,,,,0.0
2025/04/28,10:35,,,,,0.0
2025/04/28,10:40,,,,,0.0
2025/04/28,10:45,,,,,0.0
2025/04/28,10:50,,,,,0.0
2025/04/28,10:55,,,,,0.0
2025/04/28,11:00,,,,,0.0
2025/04/28,11:05,,,,,0.0
2025/04/28,11:10,,,,,0.0
2025/04/28,11:15,,,,,0.0
2025/04/28,11:20,,,,,0.0
2025/04/28,11:25,,,,,0.0
2025/04/28,11:30,,,,,0.0
2025/04/28,12:30,,,,,0.0
2025/04/28,12:35,,,,,0.0
2025/04/28,12:40,,,,,0.0
2025/04/28,12:45,,,,,0.0
2025/04/28,12:50,,,,,0.0
2025/04/28,12:55,,,,,0.0
2025/04/28,13:00,,,,,0.0
2025/04/28,13:05,,,,,0.0
2025/04/28,13:10,,,,,0.0
2025/04/28,13:15,,,,,0.0
2025/04/28,13:20,,,,,0.0
2025/04/28,13:25,,,,,0.0
2025/04/28,13:30,,,,,0.0
2025/04/28,13:35,,,,,0.0
2025/04/28,13:40,,,,,0.0
2025/04/28,13:45,,,,,0.0
2025/04/28,13:50,,,,,0.0
2025/04/28,13:55,,,,,0.0
2025/04/28,14:00,,,,,0.0
2025/04/28,14:05,,,,,0.0
2025/04/28,14:10,,,,,0.0
2025/04/28,14:15,,,,,0.0
2025/04/28,14:20,,,,,0.0
2025/04/28,14:25,,,,,0.0
2025/04/28,14:30,,,,,0.0
2025/04/28,14:35,,,,,0.0
2025/04/28,14:40,,,,,0.0
2025/04/28,14:45,,,,,0.0
2025/04/28,14:50,,,,,0.0
2025/04/28,14:55,,,,,0.0
2025/04/28,15:00,,,,,0.0
2025/04/28,15:05,,,,,0.0
2025/04/28,15:10,,,,,0.0
2025/04/28,15:15,,,,,0.0
2025/04/28,15:20,,,,,0.0
2025/04/28,15:25,,,,,0.0
2025/04/28,15:30,,,,,0.0
2025/04/30,09:00,,,,,0.0
2025/04/30,09:05,,,,,0.0
2025/04/30,09:10,,,,,0.0
2025/04/30,09:15,,,,,0.0
2025/04/30,09:20,,,,,0.0
2025/04/30,09:25,,,,,0.0
2025/04/30,09:30,,,,,0.0
2025/04/30,09:35,,,,,0.0
2025/04/30,09:40,,,,,0.0
2025/04/30,09:45,,,,,0.0
2025/04/30,09:50,,,,,0.0
2025/04/30,09:55,,,,,0.0
2025/04/30,10:00,,,,,0.0
2025/04/30,10:05,,,,,0.0
2025/04/30,10:10,,,,,0.0
2025/04/30,10:15,,,,,0.0
2025/04/30,10:20,,,,,0.0
2025/04/30,10:25,,,,,0.0
2025/04/30,10:30,,,,,0.0
2025/04/30,10:35,,,,,0.0
2025/04/30,10:40,,,,,0.0
2025/04/30,10:45,,,,,0.0
2025/04/30,10:50,,,,,0.0
2025/04/30,10:55,,,,,0.0
2025/04/30,11:00,,,,,0.0
2025/04/30,11:05,,,,,0.0
2025/04/30,11:10,,,,,0.0
2025/04/30,11:15,,,,,0.0
2025/04/30,11:20,,,,,0.0
2025/04/30,11:25,,,,,0.0
2025/04/30,11:30,,,,,0.0
2025/04/30,12:30,,,,,0.0
2025/04/30,12:35,,,,,0.0
2025/04/30,12:40,,,,,0.0
2025/04/30,12:45,,,,,0.0
2025/04/30,12:50,,,,,0.0
2025/04/30,12:55,,,,,0.0
2025/04/30,13:00,,,,,0.0
2025/04/30,13:05,,,,,0.0
2025/04/30,13:10,,,,,0.0
2025/04/30,13:15,,,,,0.0
2025/04/30,13:20,,,,,0.0
2025/04/30,13:25,,,,,0.0
2025/04/30,13:30,,,,,0.0
2025/04/30,13:35,,,,,0.0
2025/04/30,13:40,,,,,0.0
2025/04/30,13:45,,,,,0.0
2025/04/30,13:50,,,,,0.0
2025/04/30,13:55,,,,,0.0
