記録日時,銘柄コード,市場コード,銘柄名称,市場名称,市場部名称,市場部略称,現在日付,現在値,現在値時刻,現在値詳細時刻,現在値ティック,現在値フラグ,前日比,前日比率,前日終値,前日日付,前日終値フラグ,歩み1,歩み2,歩み3,歩み4,歩み1詳細時刻,歩み2詳細時刻,歩み3詳細時刻,歩み4詳細時刻,出来高,売買代金,出来高加重平均,時価総額,始値,高値,安値,始値時刻,高値時刻,安値時刻,始値詳細時刻,高値詳細時刻,安値詳細時刻,前場始値,前場高値,前場安値,前場終値,前場出来高,後場始値,後場高値,後場安値,前場始値時刻,前場高値時刻,前場安値時刻,前場終値時刻,前場出来高時刻,後場始値時刻,後場高値時刻,後場安値時刻,最良売気配値,最良買気配値,最良売気配数量,最良買気配数量,最良売気配時刻,最良買気配時刻,最良売気配詳細時刻,最良買気配詳細時刻,特別売気配フラグ,特別買気配フラグ,信用貸借区分,逆日歩,逆日歩更新日付,信用売残,信用売残前週比,信用買残,信用買残前週比,信用倍率,証金残更新日付,新規貸株,新規融資,返済貸株,返済融資,残高貸株,残高融資,残高差引,前日比貸株,前日比融資,前日比差引,回転日数,貸借倍率,最良売気配値1,最良売気配値2,最良売気配値3,最良売気配値4,最良売気配値5,最良売気配値6,最良売気配値7,最良売気配値8,最良売気配値9,最良売気配値10,最良買気配値1,最良買気配値2,最良買気配値3,最良買気配値4,最良買気配値5,最良買気配値6,最良買気配値7,最良買気配値8,最良買気配値9,最良買気配値10,最良売気配数量1,最良売気配数量2,最良売気配数量3,最良売気配数量4,最良売気配数量5,最良売気配数量6,最良売気配数量7,最良売気配数量8,最良売気配数量9,最良売気配数量10,最良買気配数量1,最良買気配数量2,最良買気配数量3,最良買気配数量4,最良買気配数量5,最良買気配数量6,最良買気配数量7,最良買気配数量8,最良買気配数量9,最良買気配数量10,売成行数量,買成行数量,OVER気配数量,UNDER気配数量,単位株数,配当,配当落日,中配落日,権利落日,決算発表日,PER,PBR,当日基準値,年初来高値,年初来安値,年初来高値日付,年初来安値日付,上場来高値,上場来安値,上場来高値日付,上場来安値日付,貸株金利,貸株金利適用日
2026-01-22 09:04:22,3350.0,T,メタプラネット,東証,東証Ｓ,東Ｓ,2026/01/22,509.0,09:04,09:04:28,↑, ,-6.0,-1.17,515.0,2026/01/21,C,508.0,509.0,508.0,509.0,09:04:19,09:04:16,09:04:10,09:04:10,3816800.0,1947366.0,510.209,581417.0,515.0,517.0,499.0,09:00,09:00,09:00,09:00:00,09:00:00,09:00:29,515.0,517.0,499.0,0.0,3816800.0,0.0,0.0,0.0,09:00,09:00,09:00,  :  ,09:04,  :  ,  :  ,  :  ,509.0,508.0,6700.0,25600.0,09:04,09:04,09:04:27,09:04:27, , ,2.0,0.0,,3000.0,-142100.0,44726300.0,5017900.0,14908.77,2026/01/21,0.0,15200.0,0.0,14700.0,0.0,910900.0,910900.0,0.0,500.0,500.0,10.0,0.0,509.0,510.0,511.0,512.0,513.0,514.0,515.0,516.0,517.0,518.0,508.0,507.0,506.0,505.0,504.0,503.0,502.0,501.0,500.0,499.0,9700.0,33300.0,22500.0,18200.0,39000.0,43500.0,70100.0,37300.0,79200.0,11600.0,25600.0,90700.0,43600.0,48000.0,40800.0,59000.0,76800.0,134900.0,144000.0,70000.0,0.0,0.0,3161700.0,2847300.0,100.0,0.0,2026/12/29,2026/06/29,2025/03/28,2026/02/10,0.0,1.66,515.0,1930.0,291.0,2025/06/19,2025/04/09,1200000.0,11.0,2005/01/12,2019/04/04,0.15,2026/01/22
2026-01-22 09:04:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22 09:04:22,9501.0,T,東京電力ＨＤ,東証,東証Ｐ,東Ｐ,2026/01/22,712.8,09:04,09:04:27,↓, ,-7.8,-1.08,720.6,2026/01/21,C,712.9,713.1,713.3,713.2,09:04:27,09:04:27,09:04:27,09:04:27,11724100.0,8378878.0,714.6713,1145482.0,715.6,719.5,707.0,09:00,09:02,09:00,09:00:00,09:02:17,09:00:04,715.6,719.5,707.0,0.0,11724100.0,0.0,0.0,0.0,09:00,09:02,09:00,  :  ,09:04,  :  ,  :  ,  :  ,712.9,712.7,100.0,2500.0,09:04,09:04,09:04:27,09:04:27, , ,1.0,0.0,,4202100.0,-728600.0,104357300.0,4338700.0,24.83,2026/01/21,20600.0,105900.0,6200.0,53000.0,294500.0,2106900.0,1812400.0,14400.0,52900.0,38500.0,34.7,7.15,712.9,713.0,713.1,713.2,713.3,713.4,713.5,713.6,713.7,713.8,712.7,712.6,712.5,712.4,712.3,712.2,712.1,712.0,711.9,711.8,100.0,200.0,1200.0,3600.0,5600.0,4900.0,16200.0,14000.0,7600.0,6600.0,2400.0,3500.0,4700.0,3900.0,4400.0,10100.0,11700.0,7100.0,7000.0,6600.0,0.0,0.0,11183500.0,5315000.0,100.0,0.0,2026/03/30,2026/09/29,,2026/01/29,0.0,0.57,721.0,939.4,360.0,2025/11/13,2025/04/07,9420.0,120.0,1987/04/22,2012/07/18,0.1,2026/01/22
2026-01-22 09:04:22,9509.0,T,北海道電力,東証,東証Ｐ,東Ｐ,2026/01/22,1151.5,09:04,09:04:25,↑, ,-3.5,-0.3,1155.0,2026/01/21,C,1151.0,1150.5,1151.0,1151.5,09:04:10,09:04:09,09:04:06,09:04:01,192000.0,222311.0,1157.8674,247908.0,1160.0,1161.0,1150.5,09:00,09:00,09:04,09:00:00,09:00:08,09:04:09,1160.0,1161.0,1150.5,0.0,192000.0,0.0,0.0,0.0,09:00,09:00,09:04,  :  ,09:04,  :  ,  :  ,  :  ,1152.0,1151.0,900.0,1500.0,09:04,09:04,09:04:27,09:04:27, , ,1.0,0.0,,1144500.0,38300.0,5760000.0,-890300.0,5.03,2026/01/21,0.0,30000.0,0.0,3500.0,0.0,209800.0,209800.0,0.0,26500.0,26500.0,29.0,0.0,1152.0,1152.5,1153.0,1153.5,1154.0,1154.5,1155.0,1155.5,1156.0,1156.5,1151.0,1150.5,1150.0,1149.5,1149.0,1148.5,1148.0,1147.5,1147.0,1146.5,900.0,3000.0,5000.0,5400.0,5500.0,10300.0,4900.0,3600.0,5400.0,4800.0,1500.0,12300.0,12400.0,5200.0,5100.0,7600.0,5300.0,4100.0,8300.0,4500.0,0.0,0.0,916200.0,772500.0,100.0,30.0,2026/03/30,2026/09/29,,2026/01/30,8.44,0.59,1155.0,1295.0,599.4,2025/11/27,2025/04/07,4500.0,270.0,1989/01/05,,0.1,2026/01/22
2026-01-22 09:04:22,215A,T,タイミー,東証,東証Ｇ,東Ｇ,2026/01/22,1353.0,09:04,09:04:25,↑, ,-2.0,-0.15,1355.0,2026/01/21,C,1352.0,1354.0,1353.0,1355.0,09:04:08,09:04:08,09:04:06,09:03:51,144700.0,196358.0,1357.0,136195.0,1361.0,1366.0,1347.0,09:00,09:00,09:02,09:00:00,09:00:00,09:02:31,1361.0,1366.0,1347.0,0.0,144700.0,0.0,0.0,0.0,09:00,09:00,09:02,  :  ,09:04,  :  ,  :  ,  :  ,1354.0,1353.0,600.0,500.0,09:04,09:04,09:04:27,09:04:27, , ,1.0,0.0,2026/01/20,3077000.0,-1407600.0,7782800.0,-344400.0,2.53,2026/01/21,3100.0,4300.0,201500.0,1705100.0,2162500.0,228800.0,-1933700.0,-198400.0,-1700800.0,-1502400.0,14.3,0.11,1354.0,1355.0,1356.0,1357.0,1358.0,1359.0,1360.0,1361.0,1362.0,1363.0,1353.0,1352.0,1351.0,1350.0,1349.0,1348.0,1347.0,1346.0,1345.0,1344.0,600.0,3100.0,3000.0,3600.0,5800.0,2500.0,3600.0,2500.0,2000.0,1900.0,500.0,2200.0,2500.0,4300.0,3900.0,5000.0,6700.0,8400.0,7600.0,6100.0,0.0,0.0,812100.0,401400.0,100.0,0.0,2026/04/28,,,-,56.84,9.34,1355.0,2502.0,1200.0,2025/08/22,2025/04/07,2502.0,930.0,2025/08/22,2024/11/15,1.7,2026/01/22
2026-01-22 09:04:22,6315.0,T,ＴＯＷＡ,東証,東証Ｐ,東Ｐ,2026/01/22,2999.0,09:04,09:04:28,↓, ,-11.0,-0.37,3010.0,2026/01/21,C,3000.0,2999.0,3000.0,2999.0,09:04:28,09:04:26,09:04:26,09:04:26,734300.0,2230673.0,3037.8221,225396.0,3070.0,3075.0,2982.0,09:00,09:00,09:03,09:00:00,09:00:00,09:03:58,3070.0,3075.0,2982.0,0.0,734300.0,0.0,0.0,0.0,09:00,09:00,09:03,  :  ,09:04,  :  ,  :  ,  :  ,3000.0,2998.0,300.0,300.0,09:04,09:04,09:04:27,09:04:27, , ,1.0,0.0,,786200.0,78000.0,4153100.0,-276200.0,5.28,2026/01/21,6300.0,2500.0,1600.0,10000.0,158300.0,168100.0,9800.0,4700.0,-7500.0,-12200.0,15.9,1.06,3000.0,3005.0,3010.0,3015.0,3020.0,3025.0,3030.0,3035.0,3040.0,3045.0,2998.0,2997.0,2996.0,2995.0,2994.0,2993.0,2992.0,2991.0,2990.0,2989.0,500.0,3700.0,5500.0,11000.0,14500.0,11000.0,8300.0,14200.0,5100.0,5800.0,400.0,900.0,800.0,3400.0,3200.0,2400.0,2800.0,3600.0,4800.0,3300.0,0.0,0.0,662300.0,392200.0,100.0,20.0,2026/03/30,2026/09/29,2024/09/27,2026/02/06,33.1,3.52,3010.0,3140.0,960.0,2026/01/19,2025/04/07,14560.0,82.0,2024/05/23,2009/03/10,0.25,2026/01/22
2026-01-22 09:04:22,6526.0,T,ソシオネクスト,東証,東証Ｐ,東Ｐ,2026/01/22,2344.5,09:04,09:04:25,↓, ,51.0,2.22,2293.5,2026/01/21,C,2345.0,2346.0,2345.5,2345.0,09:04:25,09:04:25,09:04:25,09:04:25,401500.0,937410.0,2334.7687,421876.0,2330.0,2347.5,2319.5,09:00,09:02,09:00,09:00:00,09:02:36,09:00:29,2330.0,2347.5,2319.5,0.0,401500.0,0.0,0.0,0.0,09:00,09:02,09:00,  :  ,09:04,  :  ,  :  ,  :  ,2345.5,2345.0,100.0,200.0,09:04,09:04,09:04:27,09:04:27, , ,1.0,0.0,,769900.0,-52600.0,6903300.0,-292300.0,8.97,2026/01/21,0.0,1600.0,100.0,500.0,600.0,161000.0,160400.0,-100.0,1100.0,1200.0,94.2,268.33,2345.5,2346.0,2346.5,2347.0,2347.5,2348.0,2348.5,2349.0,2349.5,2350.0,2344.5,2344.0,2343.5,2343.0,2342.5,2342.0,2341.5,2341.0,2340.5,2340.0,200.0,300.0,1000.0,3200.0,2700.0,8100.0,2400.0,5800.0,7100.0,27100.0,600.0,800.0,1300.0,1900.0,1800.0,2700.0,3700.0,1800.0,2000.0,2600.0,0.0,0.0,1486600.0,505400.0,100.0,50.0,2026/03/30,2026/09/29,2023/12/28,2026/01/30,61.37,3.16,2294.0,3491.0,1233.5,2025/10/31,2025/04/07,28330.0,1233.5,2023/06/21,2025/04/07,0.1,2026/01/22
2026-01-22 09:04:22,5016.0,T,ＪＸ金属,東証,東証Ｐ,東Ｐ,2026/01/22,2613.5,09:04,09:04:27,↓, ,-39.5,-1.49,2653.0,2026/01/21,C,2614.0,2614.5,2615.5,2615.0,09:04:27,09:04:27,09:04:27,09:04:27,3633100.0,9609122.0,2644.8822,2426538.0,2660.5,2678.0,2609.0,09:00,09:01,09:03,09:00:00,09:01:03,09:03:29,2660.5,2678.0,2609.0,0.0,3633100.0,0.0,0.0,0.0,09:00,09:01,09:03,  :  ,09:04,  :  ,  :  ,  :  ,2615.0,2614.0,400.0,200.0,09:04,09:04,09:04:27,09:04:27, , ,1.0,0.0,,1613000.0,304600.0,14766000.0,263100.0,9.15,2026/01/21,300.0,40300.0,3500.0,100800.0,43300.0,252200.0,208900.0,-3200.0,-60500.0,-57300.0,7.3,5.82,2614.5,2615.0,2615.5,2616.0,2616.5,2617.0,2617.5,2618.0,2618.5,2619.0,2613.5,2613.0,2612.5,2612.0,2611.5,2611.0,2610.5,2610.0,2609.5,2609.0,400.0,1000.0,800.0,1100.0,1700.0,1500.0,1500.0,3200.0,6100.0,3900.0,500.0,700.0,900.0,6400.0,6300.0,11900.0,8900.0,14700.0,2800.0,6100.0,0.0,0.0,3028100.0,1197400.0,100.0,21.0,2026/03/30,2026/09/29,,2026/02/10,26.88,3.84,2653.0,2793.0,650.0,2026/01/20,2025/04/07,2793.0,650.0,2026/01/20,2025/04/07,0.1,2026/01/22
2026-01-22 09:16:29,3350.0,T,メタプラネット,東証,東証Ｓ,東Ｓ,2026/01/22,510.0,09:16,09:16:41,↑, ,-5.0,-0.97,515.0,2026/01/21,C,509.0,510.0,509.0,510.0,09:16:39,09:16:38,09:16:18,09:16:17,5440800.0,2776334.0,510.2805,582559.0,515.0,517.0,499.0,09:00,09:00,09:00,09:00:00,09:00:00,09:00:29,515.0,517.0,499.0,0.0,5440800.0,0.0,0.0,0.0,09:00,09:00,09:00,  :  ,09:16,  :  ,  :  ,  :  ,511.0,510.0,9900.0,27700.0,09:16,09:16,09:16:42,09:16:42, , ,2.0,0.0,,3000.0,-142100.0,44726300.0,5017900.0,14908.77,2026/01/21,0.0,15200.0,0.0,14700.0,0.0,910900.0,910900.0,0.0,500.0,500.0,10.0,0.0,511.0,512.0,513.0,514.0,515.0,516.0,517.0,518.0,519.0,520.0,510.0,509.0,508.0,507.0,506.0,505.0,504.0,503.0,502.0,501.0,9900.0,19500.0,46700.0,88300.0,62000.0,40100.0,83500.0,15800.0,102000.0,106000.0,27700.0,41300.0,90300.0,109900.0,39000.0,72600.0,49900.0,58700.0,88000.0,119700.0,0.0,0.0,3053300.0,3122900.0,100.0,0.0,2026/12/29,2026/06/29,2025/03/28,2026/02/10,0.0,1.66,515.0,1930.0,291.0,2025/06/19,2025/04/09,1200000.0,11.0,2005/01/12,2019/04/04,0.15,2026/01/22
2026-01-22 09:16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
