日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20250530,285A,キオクシアホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20250530,9984,ソフトバンクグループ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,1,TOPIX Core30
20250530,6146,ディスコ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
20250530,6920,レーザーテック,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,6857,アドバンテスト,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,5016,ＪＸ金属,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20250530,8035,東京エレクトロン,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20250530,5803,フジクラ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20250530,7280,ミツバ,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20250530,7013,ＩＨＩ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20250530,7012,川崎重工業,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,4,TOPIX Mid400
20250530,4082,第一稀元素化学工業,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20250530,3110,日東紡績,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20250530,7011,三菱重工業,プライム（内国株式）,3600,機械,8,機械,1,TOPIX Core30
20250530,6330,東洋エンジニアリング,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20250530,5706,三井金属鉱業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20250530,9501,東京電力ホールディングス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20250530,8306,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,7050,銀行業,15,銀行,1,TOPIX Core30
20250530,7974,任天堂,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,1,TOPIX Core30
20250530,7735,ＳＣＲＥＥＮホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20250530,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20250530,5713,住友金属鉱山,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20250530,5801,古河電気工業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20250530,4584,キッズウェル・バイオ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20250530,7003,三井Ｅ＆Ｓ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20250530,6993,大黒屋ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20250530,6081,アライドアーキテクツ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20250530,4062,イビデン,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20250530,5802,住友電気工業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,2,TOPIX Large70
20250530,6963,ローム,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20250530,8411,みずほフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,1,TOPIX Core30
20250530,8267,イオン,プライム（内国株式）,6100,小売業,14,小売,2,TOPIX Large70
20250530,4098,チタン工業,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20250530,7746,岡本硝子,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20250530,6269,三井海洋開発,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20250530,4004,レゾナック・ホールディングス,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20250530,5332,ＴＯＴＯ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20250530,7771,日本精密,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20250530,7203,トヨタ自動車,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,1,TOPIX Core30
20250530,8316,三井住友フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,1,TOPIX Core30
20250530,6723,ルネサスエレクトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,6758,ソニーグループ,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20250530,5707,東邦亜鉛,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
20250530,6590,芝浦メカトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20250530,6273,ＳＭＣ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
20250530,6506,安川電機,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20250530,5216,倉元製作所,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20250530,9983,ファーストリテイリング,プライム（内国株式）,6100,小売業,14,小売,1,TOPIX Core30
20250530,4506,住友ファーマ,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20250530,6890,フェローテックホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20250530,6367,ダイキン工業,プライム（内国株式）,3600,機械,8,機械,1,TOPIX Core30
20250530,6954,ファナック,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,7729,東京精密,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20250530,6501,日立製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20250530,4107,伊勢化学工業,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20250530,8136,サンリオ,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20250530,6315,ＴＯＷＡ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20250530,6871,日本マイクロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20250530,3436,ＳＵＭＣＯ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20250530,6762,ＴＤＫ,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,6323,ローツェ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20250530,6166,中村超硬,グロース（内国株式）,3600,機械,8,機械,-,-
20250530,3692,ＦＦＲＩセキュリティ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20250530,6701,日本電気,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,6098,リクルートホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,1,TOPIX Core30
20250530,2667,イメージ　ワン,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20250530,6361,荏原製作所,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20250530,4063,信越化学工業,プライム（内国株式）,3200,化学,4,素材・化学,1,TOPIX Core30
20250530,202A,豆蔵デジタルホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20250530,4593,ヘリオス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20250530,4237,フジプレアム,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20250530,168A,イタミアート,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20250530,6752,パナソニック　ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,5243,ｎｏｔｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20250530,7182,ゆうちょ銀行,プライム（内国株式）,7050,銀行業,15,銀行,2,TOPIX Large70
20250530,3350,メタプラネット,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20250530,5631,日本製鋼所,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20250530,6702,富士通,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20250530,8766,東京海上ホールディングス,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,1,TOPIX Core30
20250530,1812,鹿島建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20250530,8058,三菱商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,1,TOPIX Core30
20250530,7014,名村造船所,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,6,TOPIX Small 1
20250530,6814,古野電気,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20250530,5401,日本製鉄,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,2,TOPIX Large70
20250530,9250,ＧＲＣＳ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20250530,7779,ＣＹＢＥＲＤＹＮＥ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20250530,4507,塩野義製薬,プライム（内国株式）,3250,医薬品,5,医薬品,2,TOPIX Large70
20250530,6861,キーエンス,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20250530,7911,ＴＯＰＰＡＮホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20250530,1801,大成建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20250530,7731,ニコン,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20250530,157A,グリーンモンスター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20250530,4531,有機合成薬品工業,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20250530,198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20250530,3647,ジー・スリーホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20250530,2768,双日,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20250530,3697,ＳＨＩＦＴ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20250530,7711,助川電気工業,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
